Order_ID,Order_Date,Customer_ID
O0001,01-01-24,C002
O0002,02-01-24,C020
O0003,03-01-24,C028
O0004,04-01-24,C047
O0005,05-01-24,C007
O0006,06-01-24,C044
O0007,07-01-24,C008
O0008,08-01-24,C047
O0009,09-01-24,C035
O0010,10-01-24,C014
O0011,11-01-24,C017
O0012,12-01-24,C036
O0013,13-01-24,C050
O0014,14-01-24,C040
O0015,15-01-24,C004
O0016,16-01-24,C002
O0017,17-01-24,C006
O0018,18-01-24,C042
O0019,19-01-24,C004
O0020,20-01-24,C029
O0021,21-01-24,C018
O0022,22-01-24,C026
O0023,23-01-24,C044
O0024,24-01-24,C034
O0025,25-01-24,C010
O0026,26-01-24,C036
O0027,27-01-24,C014
O0028,28-01-24,C031
O0029,29-01-24,C048
O0030,30-01-24,C015
O0031,31-01-24,C008
O0032,01-02-24,C014
O0033,02-02-24,C023
O0034,03-02-24,C040
O0035,04-02-24,C021
O0036,05-02-24,C016
O0037,06-02-24,C045
O0038,07-02-24,C018
O0039,08-02-24,C047
O0040,09-02-24,C024
O0041,10-02-24,C026
O0042,11-02-24,C025
O0043,12-02-24,C045
O0044,13-02-24,C041
O0045,14-02-24,C029
O0046,15-02-24,C015
O0047,16-02-24,C045
O0048,17-02-24,C001
O0049,18-02-24,C025
O0050,19-02-24,C007
O0051,20-02-24,C009
O0052,21-02-24,C024
O0053,22-02-24,C001
O0054,23-02-24,C044
O0055,24-02-24,C008
O0056,25-02-24,C024
O0057,26-02-24,C011
O0058,27-02-24,C017
O0059,28-02-24,C008
O0060,29-02-24,C035
O0061,01-03-24,C035
O0062,02-03-24,C033
O0063,03-03-24,C005
O0064,04-03-24,C042
O0065,05-03-24,C039
O0066,06-03-24,C041
O0067,07-03-24,C028
O0068,08-03-24,C007
O0069,09-03-24,C009
O0070,10-03-24,C008
O0071,11-03-24,C012
O0072,12-03-24,C034
O0073,13-03-24,C033
O0074,14-03-24,C048
O0075,15-03-24,C023
O0076,16-03-24,C024
O0077,17-03-24,C037
O0078,18-03-24,C035
O0079,19-03-24,C044
O0080,20-03-24,C040
O0081,21-03-24,C022
O0082,22-03-24,C027
O0083,23-03-24,C035
O0084,24-03-24,C001
O0085,25-03-24,C035
O0086,26-03-24,C037
O0087,27-03-24,C047
O0088,28-03-24,C014
O0089,29-03-24,C003
O0090,30-03-24,C001
O0091,31-03-24,C005
O0092,01-04-24,C026
O0093,02-04-24,C014
O0094,03-04-24,C039
O0095,04-04-24,C027
O0096,05-04-24,C009
O0097,06-04-24,C015
O0098,07-04-24,C015
O0099,08-04-24,C026
O0100,09-04-24,C042
O0101,10-04-24,C013
O0102,11-04-24,C032
O0103,12-04-24,C039
O0104,13-04-24,C049
O0105,14-04-24,C032
O0106,15-04-24,C004
O0107,16-04-24,C030
O0108,17-04-24,C037
O0109,18-04-24,C023
O0110,19-04-24,C039
O0111,20-04-24,C045
O0112,21-04-24,C015
O0113,22-04-24,C043
O0114,23-04-24,C029
O0115,24-04-24,C036
O0116,25-04-24,C013
O0117,26-04-24,C032
O0118,27-04-24,C007
O0119,28-04-24,C022
O0120,29-04-24,C028
O0121,30-04-24,C002
O0122,01-05-24,C042
O0123,02-05-24,C045
O0124,03-05-24,C006
O0125,04-05-24,C028
O0126,05-05-24,C028
O0127,06-05-24,C044
O0128,07-05-24,C044
O0129,08-05-24,C020
O0130,09-05-24,C030
O0131,10-05-24,C011
O0132,11-05-24,C028
O0133,12-05-24,C025
O0134,13-05-24,C039
O0135,14-05-24,C033
O0136,15-05-24,C001
O0137,16-05-24,C027
O0138,17-05-24,C013
O0139,18-05-24,C041
O0140,19-05-24,C003
O0141,20-05-24,C039
O0142,21-05-24,C006
O0143,22-05-24,C008
O0144,23-05-24,C027
O0145,24-05-24,C009
O0146,25-05-24,C037
O0147,26-05-24,C033
O0148,27-05-24,C042
O0149,28-05-24,C044
O0150,29-05-24,C024
O0151,30-05-24,C015
O0152,31-05-24,C032
O0153,01-06-24,C032
O0154,02-06-24,C024
O0155,03-06-24,C041
O0156,04-06-24,C049
O0157,05-06-24,C049
O0158,06-06-24,C012
O0159,07-06-24,C039
O0160,08-06-24,C002
O0161,09-06-24,C003
O0162,10-06-24,C049
O0163,11-06-24,C037
O0164,12-06-24,C049
O0165,13-06-24,C017
O0166,14-06-24,C049
O0167,15-06-24,C002
O0168,16-06-24,C002
O0169,17-06-24,C028
O0170,18-06-24,C023
O0171,19-06-24,C037
O0172,20-06-24,C032
O0173,21-06-24,C033
O0174,22-06-24,C001
O0175,23-06-24,C019
O0176,24-06-24,C002
O0177,25-06-24,C044
O0178,26-06-24,C026
O0179,27-06-24,C032
O0180,28-06-24,C006
O0181,29-06-24,C032
O0182,30-06-24,C004
O0183,01-07-24,C011
O0184,02-07-24,C017
O0185,03-07-24,C038
O0186,04-07-24,C024
O0187,05-07-24,C005
O0188,06-07-24,C034
O0189,07-07-24,C006
O0190,08-07-24,C022
O0191,09-07-24,C011
O0192,10-07-24,C048
O0193,11-07-24,C016
O0194,12-07-24,C033
O0195,13-07-24,C009
O0196,14-07-24,C006
O0197,15-07-24,C016
O0198,16-07-24,C029
O0199,17-07-24,C003
O0200,18-07-24,C020
O0201,19-07-24,C036
O0202,20-07-24,C019
O0203,21-07-24,C026
O0204,22-07-24,C003
O0205,23-07-24,C019
O0206,24-07-24,C020
O0207,25-07-24,C032
O0208,26-07-24,C007
O0209,27-07-24,C041
O0210,28-07-24,C033
O0211,29-07-24,C040
O0212,30-07-24,C039
O0213,31-07-24,C018
O0214,01-08-24,C040
O0215,02-08-24,C001
O0216,03-08-24,C011
O0217,04-08-24,C028
O0218,05-08-24,C025
O0219,06-08-24,C050
O0220,07-08-24,C023
O0221,08-08-24,C031
O0222,09-08-24,C030
O0223,10-08-24,C042
O0224,11-08-24,C035
O0225,12-08-24,C007
O0226,13-08-24,C016
O0227,14-08-24,C026
O0228,15-08-24,C048
O0229,16-08-24,C049
O0230,17-08-24,C002
O0231,18-08-24,C001
O0232,19-08-24,C048
O0233,20-08-24,C012
O0234,21-08-24,C005
O0235,22-08-24,C037
O0236,23-08-24,C032
O0237,24-08-24,C009
O0238,25-08-24,C041
O0239,26-08-24,C035
O0240,27-08-24,C019
O0241,28-08-24,C048
O0242,29-08-24,C016
O0243,30-08-24,C003
O0244,31-08-24,C020
O0245,01-09-24,C024
O0246,02-09-24,C033
O0247,03-09-24,C024
O0248,04-09-24,C011
O0249,05-09-24,C049
O0250,06-09-24,C008
O0251,07-09-24,C036
O0252,08-09-24,C038
O0253,09-09-24,C040
O0254,10-09-24,C020
O0255,11-09-24,C035
O0256,12-09-24,C048
O0257,13-09-24,C025
O0258,14-09-24,C035
O0259,15-09-24,C025
O0260,16-09-24,C029
O0261,17-09-24,C018
O0262,18-09-24,C046
O0263,19-09-24,C018
O0264,20-09-24,C002
O0265,21-09-24,C035
O0266,22-09-24,C016
O0267,23-09-24,C041
O0268,24-09-24,C036
O0269,25-09-24,C033
O0270,26-09-24,C004
O0271,27-09-24,C033
O0272,28-09-24,C014
O0273,29-09-24,C021
O0274,30-09-24,C048
O0275,01-10-24,C020
O0276,02-10-24,C008
O0277,03-10-24,C007
O0278,04-10-24,C003
O0279,05-10-24,C017
O0280,06-10-24,C033
O0281,07-10-24,C048
O0282,08-10-24,C012
O0283,09-10-24,C022
O0284,10-10-24,C022
O0285,11-10-24,C046
O0286,12-10-24,C030
O0287,13-10-24,C038
O0288,14-10-24,C038
O0289,15-10-24,C045
O0290,16-10-24,C008
O0291,17-10-24,C027
O0292,18-10-24,C027
O0293,19-10-24,C034
O0294,20-10-24,C021
O0295,21-10-24,C030
O0296,22-10-24,C033
O0297,23-10-24,C028
O0298,24-10-24,C047
O0299,25-10-24,C033
O0300,26-10-24,C005
O0301,27-10-24,C048
O0302,28-10-24,C019
O0303,29-10-24,C004
O0304,30-10-24,C035
O0305,31-10-24,C049
O0306,01-11-24,C017
O0307,02-11-24,C044
O0308,03-11-24,C028
O0309,04-11-24,C030
O0310,05-11-24,C029
O0311,06-11-24,C046
O0312,07-11-24,C006
O0313,08-11-24,C035
O0314,09-11-24,C041
O0315,10-11-24,C037
O0316,11-11-24,C024
O0317,12-11-24,C029
O0318,13-11-24,C049
O0319,14-11-24,C046
O0320,15-11-24,C031
O0321,16-11-24,C035
O0322,17-11-24,C033
O0323,18-11-24,C021
O0324,19-11-24,C032
O0325,20-11-24,C023
O0326,21-11-24,C033
O0327,22-11-24,C003
O0328,23-11-24,C018
O0329,24-11-24,C025
O0330,25-11-24,C042
O0331,26-11-24,C031
O0332,27-11-24,C003
O0333,28-11-24,C040
O0334,29-11-24,C046
O0335,30-11-24,C024
O0336,01-12-24,C050
O0337,02-12-24,C032
O0338,03-12-24,C047
O0339,04-12-24,C022
O0340,05-12-24,C023
O0341,06-12-24,C002
O0342,07-12-24,C027
O0343,08-12-24,C042
O0344,09-12-24,C002
O0345,10-12-24,C026
O0346,11-12-24,C017
O0347,12-12-24,C040
O0348,13-12-24,C033
O0349,14-12-24,C009
O0350,15-12-24,C043
O0351,16-12-24,C048
O0352,17-12-24,C039
O0353,18-12-24,C029
O0354,19-12-24,C042
O0355,20-12-24,C026
O0356,21-12-24,C035
O0357,22-12-24,C050
O0358,23-12-24,C025
O0359,24-12-24,C024
O0360,25-12-24,C013
O0361,26-12-24,C007
O0362,27-12-24,C036
O0363,28-12-24,C045
O0364,29-12-24,C020
O0365,30-12-24,C001
O0366,31-12-24,C008
O0367,01-01-25,C046
O0368,02-01-25,C016
O0369,03-01-25,C014
O0370,04-01-25,C012
O0371,05-01-25,C023
O0372,06-01-25,C015
O0373,07-01-25,C028
O0374,08-01-25,C034
O0375,09-01-25,C002
O0376,10-01-25,C032
O0377,11-01-25,C023
O0378,12-01-25,C022
O0379,13-01-25,C025
O0380,14-01-25,C022
O0381,15-01-25,C022
O0382,16-01-25,C049
O0383,17-01-25,C042
O0384,18-01-25,C006
O0385,19-01-25,C015
O0386,20-01-25,C043
O0387,21-01-25,C037
O0388,22-01-25,C033
O0389,23-01-25,C008
O0390,24-01-25,C044
O0391,25-01-25,C044
O0392,26-01-25,C005
O0393,27-01-25,C039
O0394,28-01-25,C004
O0395,29-01-25,C006
O0396,30-01-25,C045
O0397,31-01-25,C032
O0398,01-02-25,C030
O0399,02-02-25,C047
O0400,03-02-25,C035
